,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,0,13,2,15.4,0.41,0.06,0,0,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75,57,160,35.6,2,1.6,1.7,0.4,20,50,37,9,86,34,32,2881,0,8,0,0,0.06,0.06,0,0.06,2.5,0.03,0.05,0.08,0.03,0.08,1130,332,17,5,4,50,315,0,0,0,0,7,40,1817,159,712,696,434,23,1817,34,68,50,38,23,1018,40,0,27,52,1,44,0,2,1,154,13,50,20.6
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48,27,34,14,0,16,32,50,16,50,25,25,68,116,104,0,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.5,1.5,0.08,0.5,0.5,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0,0.9,0.6,-0.9,9,95,7,0,96,34,34,2983,2,5,1,0.06,0,0.06,0.06,0.06,2.4,0.04,0.03,0.07,0.04,0.07,1471,101,89,0,32,4,9,0,0,0,0,6,26,1906,212,1012,839,84,24,1906,14,18,77.8,28,13,1199,10,0,39,25,0,27,0,1,0,195,62,38,62
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,1.1,1.1,0.06,-0.1,-0.1,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0,1,0.8,-1,17,87,13,1,80,31,29,2462,1,12,3,0.04,0,0.04,0.04,0.04,2,0.04,0.04,0.07,0.04,0.07,1678,21,17,1,3,14,4,0,0,0,0,2,29,1943,39,562,1140,257,15,1943,26,41,63.4,42,30,1477,41,2,43,37,0,23,0,0,0,186,17,20,45.9
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,0,29,7,24.1,0.88,0.21,0,0,24.2,0,0,0,2.1,2.1,0.07,-2.1,-2.1,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0,1341,1659,80.8,23753,6845,605,678,89.2,535,620,86.3,152,236,64.4,2,4.4,2.6,-2.4,35,147,23,9,126,34,34,2956,0,9,0,0,0.06,0.06,0,0.06,6.4,0.06,0.13,0.2,0.06,0.2,1616,35,25,7,21,37,8,2,0,1,0,8,48,2020,24,405,1286,358,14,2020,39,61,63.9,52,40,1402,59,0,41,69,1,60,0,0,0,264,11,7,61.1
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,5,8,1,12,0,0,,3,0,8,3,0,1,0,0,0,0,0,0,1,0,0,
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11,7,4,5,2,2,10,20,8,12,1,11,4,15,8,0,0,18,4,22.2,2.23,0.5,0,0,16.7,0,0,0,2.1,2.1,0.12,-2.1,-2.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,84,137,61.3,1009,278,53,78,67.9,23,36,63.9,1,3,33.3,1,1.4,0.6,-0.4,7,5,6,0,15,24,5,726,0,3,0,0,0.12,0.12,0,0.12,3.5,0.26,0.17,0.43,0.26,0.43,129,6,0,2,0,3,0,0,0,0,0,2,6,243,6,24,106,114,23,243,7,20,35,29,10,156,35,0,17,11,15,7,0,0,0,28,19,30,38.8
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,0,2,0,0,1.75,0,0,,9.5,0,0,0,0.6,0.6,0.28,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,77.8,72,15,5,7,71.4,1,1,100,0,0,,0,0,0,0,0,0,1,0,1,7,1,103,0,0,0,0,0,0,0,0,0.6,0.49,0,0.49,0.49,0.49,9,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,5,12,3,18,3,6,50,1,3,11,5,0,2,1,0,0,0,0,0,0,0,7,0
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,17,92,35,38,2.68,1.02,0.15,0.4,12.9,3,3,3,19.2,16.8,0.18,-2.2,-2.8,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,485,696,69.7,6820,1622,293,401,73.1,134,180,74.4,28,39,71.8,4,4.9,2.4,-0.9,38,35,27,3,53,37,36,3084,14,9,0,0.5,0.12,0.61,0.41,0.53,21.8,0.56,0.14,0.7,0.49,0.63,627,67,6,5,1,16,2,0,0,0,0,2,20,1050,32,73,499,488,173,1047,38,77,49.4,86,41,731,187,0,38,49,17,13,1,1,0,68,78,80,49.4
8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6,3,3,3,0,2,4,50,2,6,5,1,5,11,37,1,0,2,0,0,0.32,0,0,,9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,191,226,84.5,3666,1177,56,67,83.6,113,119,95,18,28,64.3,0,0,0,0,0,8,0,0,7,8,6,560,0,2,0,0,0,0,0,0,0.2,0.04,0,0.04,0.04,0.04,216,9,5,0,0,0,2,0,0,0,0,1,4,285,45,178,105,5,4,285,0,0,,0,0,180,1,0,5,4,0,3,0,0,1,14,7,14,33.3
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.2,2.2,0.15,1.8,1.8,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0,1837,2043,89.9,34996,12274,678,731,92.7,919,968,94.9,211,296,71.3,0,0.7,0.8,-0.7,5,119,6,0,78,30,29,2536,4,2,1,0.14,0,0.14,0.14,0.14,2.9,0.08,0.02,0.1,0.08,0.1,1955,87,77,1,34,3,1,0,0,0,0,1,6,2289,267,1098,1141,59,22,2289,4,6,66.7,13,4,1641,10,0,18,16,4,12,1,0,0,162,69,43,61.6
